,Area Code,Off Gas Grid (Thousands),Proportion Off Gas Grid,Number of households in fuel poverty,Proportion of households fuel poor (%),Mains gas only,Mains gas only (%),Tank or bottled gas only,Tank or bottled gas only (%),Gas only,Gas only (%),Electric only,Electric only (%),Oil only,Oil only (%),All Houses,All Houses (%),All Houses - Detached or Semi,All Houses - Detached or Semi (%),Houses - Detached,Houses - Detached (%),Houses - Semi-Detached,Houses - Semi-Detached (%),Houses - Terraced,Houses - Terraced (%),Non-House Accommodation,Non-House Accommodation (%),Tenure - Owned,Tenure - Owned (%),Tenure - Social,Tenure - Social (%),Tenure - Private Rent,Tenure - Private Rent (%),LA Name 2021,Proportion of homes needing loft insulation,Proportion of homes needing cavity wall insulation,Number of homes needing loft insulation,Number of homes needing cavity wall insulation,LA Name 2019,Income - Average score ,Employment - Average score ,Average Index of Multiple Deprivation (IMD) Decile,Max Index of Multiple Deprivation (IMD) Decile
16,E06000001,1.2,0.0270453008789723,5993.0,14.308224901516056,33664.0,82.24774004397753,184.0,0.4495480087955045,33848.0,82.69728805277303,1886.0,4.607867090153921,120.0,0.2931834839970682,36092.0,88.17551060295123,22623.0,55.26971562591615,8086.0,19.75471513730089,14537.0,35.515000488615264,13469.0,32.90579497703508,4725.0,11.54353562005277,24073.0,58.816487087395245,9594.0,23.440592245107382,6338.0,15.485352683916052,Hartlepool,0.152307090719499,0.142466110531804,6800.0,6300.0,Hartlepool,0.228,0.185,3.689655172413793,1.0
17,E06000002,2.04,0.0315936193278612,10244.0,16.62285399019894,48397.0,80.31097540738774,299.0,0.4961667385748897,48696.0,80.80714214596263,3554.0,5.8975805648667485,54.0,0.08960870863894328,52642.0,87.3552155587269,35874.0,59.53005210580466,10389.0,17.239719889814474,25485.0,42.290332215990176,16768.0,27.82516345292224,7569.0,12.560153994225217,33464.0,55.530848627659225,14006.0,23.241843948093326,11286.0,18.728220105539144,Middlesbrough,0.155933397938508,0.141375209232667,10000.0,9000.0,Middlesbrough,0.251,0.191,3.383720930232558,1.0
18,E06000003,2.89,0.0442504976267034,9300.0,14.748093055709733,50613.0,82.1133067263701,353.0,0.5726986599175833,50966.0,82.68600538628768,2610.0,4.234400856614426,613.0,0.994516369771894,56057.0,90.94699612245891,40391.0,65.53044437594302,12449.0,20.197284098836736,27942.0,45.33316027710628,15666.0,25.416551746515893,5496.0,8.916722098739394,40200.0,65.21950744670495,11649.0,18.89905577728025,8410.0,13.644180537979816,Redcar and Cleveland,0.184132913881243,0.158720015729453,12000.0,10300.0,Redcar and Cleveland,0.186,0.165,4.340909090909091,1.0
19,E06000004,3.07,0.0346110484780158,10424.0,12.165489875707532,69453.0,82.92202442780902,420.0,0.5014506250223861,69873.0,83.4234750528314,3779.0,4.511861695141898,383.0,0.4572752128180331,76001.0,90.73987845791993,57703.0,68.89334622777797,22209.0,26.515992693148032,35494.0,42.37735353462994,18298.0,21.846532230141957,7677.0,9.165801067373474,55797.0,66.617715534224,13673.0,16.324605704597825,12388.0,14.790405578041238,Stockton-on-Tees,0.150398307605857,0.117393316365319,13200.0,10300.0,Stockton-on-Tees,0.164,0.135,5.208333333333333,1.0
20,E06000005,2.95,0.0567307692307692,7255.0,14.501878947789237,39821.0,81.40357332679177,279.0,0.5703422053231939,40100.0,81.97391553211497,2865.0,5.85673985036183,667.0,1.363506275808496,42416.0,86.70836910748599,28479.0,58.21783392616214,9331.0,19.074778200253487,19148.0,39.14305572590867,13937.0,28.49053518132385,6424.0,13.132180383498918,30886.0,63.1408945948156,7931.0,16.213508872352605,9035.0,18.470439120124293,Darlington,0.150251328450381,0.142639666810283,7800.0,7400.0,Darlington,0.153,0.128,4.815384615384615,1.0
21,E06000047,15.75,0.0631237224960923,35210.0,14.671138982062127,188240.0,80.18401772022492,1523.0,0.6487476571818027,189763.0,80.83276537740672,7193.0,3.0639802351337537,5593.0,2.3824331231896405,221591.0,94.39003923138853,138574.0,59.027691993133445,48799.0,20.78667240299709,89775.0,38.24101959013635,83017.0,35.362347238255076,12784.0,5.445538228240636,147512.0,62.83496832949255,46858.0,19.959874084707426,35156.0,14.975230127661748,County Durham,0.166628667426651,0.166934661306774,40800.0,40900.0,County Durham,0.165,0.143,4.262345679012346,1.0
22,E06000057,28.17,0.179644155347236,20676.0,13.76079013397403,104032.0,70.80763942772356,2647.0,1.8016362423598917,106679.0,72.60927567008345,6623.0,4.507834088836253,11009.0,7.493091572398961,130879.0,89.08060059078967,93078.0,63.35198268468984,39981.0,27.212398415485765,53097.0,36.139584269204065,37801.0,25.72861790609984,15709.0,10.692067899974136,96589.0,65.74168606471461,26085.0,17.754318618042227,20149.0,13.714079579640897,Northumberland,0.174484800749743,0.159220745555877,27700.0,25300.0,Northumberland,0.126,0.118,5.401015228426396,1.0
23,E08000021,19.28,0.141900345918893,19128.0,15.22820816979675,91909.0,74.84629103316857,457.0,0.37215892896406266,92366.0,75.21844996213262,12392.0,10.091451745563816,131.0,0.1066801306220836,83114.0,67.68351276079414,54168.0,44.11146761347905,11676.0,9.50829818075213,42492.0,34.603169432726915,28946.0,23.5720451473151,39652.0,32.29042818286943,61056.0,49.721084391312495,33476.0,27.261252310724203,25300.0,20.60310919647874,Newcastle upon Tyne,0.145276836785694,0.172943855167435,19300.0,23000.0,Newcastle upon Tyne,0.178,0.128,4.525714285714286,1.0
24,E08000022,3.99,0.0399039903990399,11405.0,11.594099767203083,79948.0,83.07666729014693,249.0,0.258744310742565,80197.0,83.3354116008895,5066.0,5.264251719766403,55.0,0.05715235779454247,74259.0,77.16663895585668,52169.0,54.2116967328955,12051.0,12.522861418239255,40118.0,41.688835314656245,22090.0,22.95494222296118,21958.0,22.817773713525646,61775.0,64.19382326045391,19765.0,20.538905977221713,12755.0,13.25442680189542,North Tyneside,0.139881045547034,0.159101580842072,14000.0,15900.0,North Tyneside,0.144,0.122,5.450381679389313,1.0
25,E08000023,1.77,0.0244576481967666,9690.0,13.867422290915336,56263.0,82.3931699030548,226.0,0.3309609583223501,56489.0,82.72413086137715,2468.0,3.614210819201593,53.0,0.07761473801364849,54373.0,79.62539905690771,35669.0,52.23471868318542,6408.0,9.384061154555837,29261.0,42.85065752862959,18704.0,27.390680373722287,13875.0,20.31895264036552,38990.0,57.097251306983765,20208.0,29.59274825369397,7742.0,11.337443437257457,South Tyneside,0.147096444103351,0.179415025155624,10600.0,13000.0,South Tyneside,0.206,0.172,3.6470588235294117,1.0
